Study,Author,Organism,Age,Primary,Prop_sp,Sec_rich,Prim_rich,Jaccard,Soren,Disturbance,Isolation
42,Raman,B,5,OG,0.690,26,32,0.657,0.793,-9999,-9999
42,Raman,B,5,OG,0.677,26,29,0.571,0.727,-9999,-9999
42,Raman,B,5,OG,0.800,26,31,0.583,0.737,-9999,-9999
42,Raman,B,5,OG,0.774,28,31,0.686,0.814,-9999,-9999
42,Raman,B,5,OG,0.767,28,30,0.657,0.793,-9999,-9999
42,Raman,B,5,OG,0.688,28,25,0.514,0.679,-9999,-9999
42,Raman,B,5,OG,0.724,28,32,0.579,0.733,-9999,-9999
42,Raman,B,5,OG,0.645,28,29,0.583,0.737,-9999,-9999
42,Raman,B,5,OG,0.720,28,31,0.513,0.678,-9999,-9999
44,Renner,B,7,OG,0.882,55,51,0.738,0.849,S,1
50,Sodhi,B,40,OG,0.862,28,29,0.781,0.877,C,1
62,Wijesinghe,B,5,OG,0.413,32,46,0.322,0.487,A,1
7,Bowman,H,4,OG,0.769,10,13,0.769,0.87,S,2
7,Bowman,H,8,OG,0.846,12,13,0.786,0.88,S,2
7,Bowman,H,26,OG,0.846,13,13,0.733,0.846,S,2
14,Ernst,H,25,OG,0.750,18,20,0.652,0.789,P,1
20,Gardner,H,16.5,OG,0.574,29,47,0.551,0.711,C,1
24,Glor,H,3,OG,0.545,6,11,0.545,0.706,-9999,-9999
24,Glor,H,5,OG,0.545,7,11,0.5,0.667,-9999,-9999
24,Glor,H,7.5,OG,0.636,8,11,0.583,0.737,-9999,-9999
24,Glor,H,80,OG,0.636,8,11,0.583,0.737,-9999,-9999
29,Heinen,H,5,OG,0.550,17,20,0.423,0.595,P,1
29,Heinen,H,25,OG,0.600,19,20,0.444,0.615,P,1
32,Kanowski,H,15,OG,0.100,3,10,0.083,0.154,A,2
32,Kanowski,H,35,OG,0.100,2,10,0.091,0.167,A,2
34,Lieberman,H,20,OG,0.813,41,32,0.553,0.712,P,1
40,Pawar,H,5,OG,0.118,7,17,0.091,0.167,S,1
40,Pawar,H,5,OG,0.091,7,22,0.074,0.138,S,1
40,Pawar,H,5,OG,0.150,7,20,0.125,0.222,S,1
40,Pawar,H,10,OG,0.294,11,17,0.217,0.357,S,1
40,Pawar,H,10,OG,0.182,11,22,0.138,0.242,S,1
40,Pawar,H,10,OG,0.300,11,20,0.24,0.387,S,1
40,Pawar,H,35,OG,0.647,19,17,0.44,0.611,S,1
40,Pawar,H,35,OG,0.591,19,22,0.464,0.634,S,1
40,Pawar,H,35,OG,0.700,19,20,0.56,0.718,S,1
40,Pawar,H,1,OG,0.235,8,17,0.19,0.32,S,1
40,Pawar,H,1,OG,0.136,8,22,0.111,0.2,S,1
40,Pawar,H,1,OG,0.100,8,20,0.077,0.143,S,1
40,Pawar,H,1,OG,0.176,7,17,0.143,0.25,S,1
40,Pawar,H,1,OG,0.136,7,22,0.115,0.207,S,1
40,Pawar,H,1,OG,0.100,7,20,0.08,0.148,S,1
55,Tocher,H,8.5,OG,0.725,40,51,0.685,0.813,C,1
55,Tocher,H,12,OG,0.854,51,41,0.614,0.761,C,1
