"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",-0.202923785645817,0.203853209273268,NA,-0.60246873395433,0.196621162662695
"Age",0.00797658525362999,0.00812625821693681,NA,-0.00795058818063883,0.0239037586878988
"Agesq",-0.000159632440763675,9.76676315205532e-05,NA,-0.000351057480999288,3.1792599471938e-05
"DisturbancePasture",0.178429082242808,0.206758762717113,NA,-0.226810646170797,0.583668810656413
"DisturbanceShifting agriculture",0.336178989302752,0.247197001858109,NA,-0.148318231425422,0.820676210030926
