"","(Intercept)","Age","Disturbance","Type","df","logLik","AICc","delta","weight","MRsquared"
"1",-0.949999654191105,NA,NA,NA,2,-4.62711022616332,13.5208871189933,0,0.420598566722025,0
"2",-1.36483770651734,0.0127968344127329,NA,NA,3,-4.02845319143016,14.6023609283149,1.08147380932155,0.244922528639091,0.132922144416931
"3",-0.908088331644747,NA,"+",NA,3,-4.61389194655973,15.773238438574,2.25235131958068,0.136387922364478,0.031505955216794
"4",-1.44741877829875,0.0136157143362101,"+",NA,4,-4.00806194228114,16.9463564427018,3.4254693237085,0.0758641464274211,0.154950828803104
"5",-0.322773391311465,NA,NA,"+",4,-4.06861326478861,17.0674590877168,3.54657196872344,0.0714067834548098,0.0234282178979403
"6",-0.497543918351262,0.0109215825400881,NA,"+",5,-3.67618716826441,18.7809457651002,5.26005864610693,0.0303152089616262,0.173695930423998
"7",-0.322772768849993,NA,"+","+",5,-4.06717557763217,19.5629225838358,6.04203546484245,0.0205048434305503,0.0448571852524431
