"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",-3.47590849470146,0.230210535476105,NA,-3.9271128530963,-3.02470413630661
"DisturbanceShifting agriculture",-0.651174052475288,0.639813587928865,NA,-1.90518564163521,0.602837536684638
"log(Age)",0.681389965347361,0.0624597168035252,NA,0.55897116992788,0.803808760766841
"DisturbanceShifting agriculture:log(Age)",0.105507334421637,0.335860140194754,NA,-0.552766444202653,0.763781113045928
