"","(Intercept)","Age","Agesq","Disturbance","df","logLik","AICc","delta","weight","MRsquared"
"1",-0.120930659481408,NA,NA,NA,6,-160.879723733511,334.226114133688,0,0.432296160858207,0
"4",-0.263084668796659,0.0119716804224696,-0.000154363931580951,NA,8,-159.518104135748,335.845197035542,1.61908290185323,0.192398638147751,0.00746363937820181
"2",-0.16118922766103,0.00150256176173937,NA,NA,7,-160.776172286315,336.178042896652,1.9519287629642,0.162901631257642,0.000999534764404563
"5",-0.23355571618234,NA,NA,"+",8,-160.235059570176,337.279107904396,3.05299377070816,0.0939360306441002,0.0107002033876161
"8",-0.494444747262055,0.015108117482356,-0.000173939146968364,"+",10,-158.296579475465,337.843158950931,3.61704481724223,0.0708516675552296,0.0331577145131476
"6",-0.352808284058281,0.00337091857829693,NA,"+",9,-159.810527260159,338.638003672861,4.41188953917248,0.04761587153707,0.0201897400455896
