"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",-4.08243501192692,0.287659339092144,NA,-4.64623695636412,-3.51863306748972
"logAge",0.84974304679769,0.0738740659841831,NA,0.704952538077156,0.994533555518224
"DisturbancePasture",-0.0147171808242722,0.242217123968403,NA,-0.489454020241216,0.460019658592672
"DisturbanceShifting agriculture",0.191538244908951,0.281786022382445,NA,-0.360752210307438,0.74382870012534
"DisturbancePasture:logAge",0.071023525706783,0.196913809206349,NA,-0.314920448396254,0.45696749980982
"DisturbanceShifting agriculture:logAge",0.156533986474031,0.223992919680679,NA,-0.282484068892072,0.595552041840135
"TypeMoist",0.0586798930717821,0.187759259386173,NA,-0.309321493089031,0.426681279232595
"TypeMontane",-0.111849376668519,0.749293120623364,NA,-1.58043690695394,1.3567381536169
"TypeWet",-0.0439706081881452,0.156592511144113,NA,-0.350886290279294,0.262945073903003
