"","(Intercept)","I(Rich_Prop^2)","log(Rich_Prop)","Rich_Prop","family","df","logLik","AICc","delta","weight","dev","dev_ex"
"5",0.343324546271324,0.348361012812929,NA,NA,NA,4,2.12023065018967,4.23572917581113,0,0.485793857675333,-4.24046130037935,1.10002901471424
"3",0.184481991328149,NA,NA,0.530745407454087,NA,4,1.703658141212,5.06887419376647,0.83314501795534,0.320285204776366,-3.40731628242401,1.08037580499088
"7",0.282520403037637,0.229786621685961,NA,0.190870455118864,NA,5,1.90965047228561,6.90359062169383,2.66786144588271,0.127977395390876,-3.81930094457123,1.09009418629724
"6",0.396149355849271,0.302264079839825,0.0445240238275349,NA,NA,5,0.425888897213138,9.87111377183878,5.63538459602766,0.0290231002934628,-0.851777794426275,1.02009274168457
"4",0.0843072647909976,NA,-0.0528826667916086,0.632913052362972,NA,5,0.196928759348836,10.3290340475674,6.09330487175626,0.0230838199461944,-0.393857518697673,1.00929077681468
"8",0.490379115972019,0.382889818410493,0.075510289203482,-0.181344160062471,NA,6,0.835865000599638,11.3526602427032,7.11693106689204,0.0138366219177688,-1.67173000119928,1.0394347437797
