"","Coefficients","SE","Lower CI","Upper CI"
"(Intercept)",-0.146454790187937,0.105795006041545,-0.353809191773562,0.0608996113976882
"Age",0.0026206142176026,0.00185234165770547,-0.00100990871856334,0.00625113715376854
"DisturbancePasture",0.197742395585407,0.116371528053059,-0.0303416082244818,0.425826399395296
"DisturbanceShifting agriculture",-0.0188724947584765,0.154077918361596,-0.320859665560108,0.283114676043154
"TypeMoist",0.131433931447587,0.131858365486394,-0.127003715966064,0.389871578861238
"TypeMontane",0.464440936631639,0.393357768649817,-0.306526122961041,1.23540799622432
"TypeWet",0.0565580397990684,0.122967834987452,-0.184454488033202,0.297570567631339
"Age:DisturbancePasture",-0.00459365010361077,0.00354491499545224,-0.0115415558229531,0.00235425561573158
"Age:DisturbanceShifting agriculture",-0.00235624779761688,0.005992159185556,-0.0141006639909375,0.00938816839570375
