"","(Intercept)","logAge","logAgesq","df","logLik","AICc","delta","weight","MRsquared"
"2",-2.4334328030185,0.457688160739952,NA,6,-68.6492665144951,150.746808891059,0,0.559316845481596,0.0742539552379309
"1",-0.523536802429971,NA,NA,5,-70.6466976515822,152.310344455707,1.56353556464751,0.255941355437897,0
"4",-2.22403828573588,0.170056560846046,0.0569601568743391,7,-68.4987052558554,152.962322792413,2.21551390135338,0.184741799080507,0.0861073247445303
