"","Coefficients","SE","Lower CI","Upper CI"
"(Intercept)",-0.646844531996135,0.0866931234119513,-0.816759931590846,-0.476929132401424
"Age",0.0102412203746666,0.00296156238781293,0.00443666475658479,0.0160457759927484
"log(Age)",0.0768259003312665,0.0608739678733714,-0.0424848842965898,0.196136684959123
"TypeMoist",0.0428369313714022,0.117765153205691,-0.187978527545594,0.273652390288398
"TypeWet",-0.0115951598171741,0.0945634822415791,-0.196936179263362,0.173745859629014
