"","(Intercept)","Disturbance","log(Age)","Disturbance:log(Age)","df","logLik","AICc","delta","weight","MRsquared"
"3",-3.53820209586555,NA,0.685104549159621,NA,6,-56.2205477713568,125.658486847061,0,0.47011315178167,0.642587842860744
"4",-3.44945008953094,"+",0.68403145642796,NA,7,-55.0903265894336,125.827712002397,0.169225155335127,0.431972028166386,0.605656211610971
"8",-3.41294540753101,"+",0.664216591325407,"+",8,-55.3234920544911,128.796237840326,3.13775099326406,0.0979148200519439,0.606754827416004
