"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",-3.40727743702584,0.343076810297209,NA,-4.07969562913925,-2.73485924491243
"log(Age)",0.876233795642147,0.116852250181729,NA,0.647207593773494,1.1052599975108
"DisturbancePasture",0.173025415386785,0.211697330826329,NA,-0.241893728656081,0.58794455942965
"DisturbanceShifting agriculture",-0.197509712679547,0.23214274288273,NA,-0.65250112800204,0.257481702642946
"I(log(Age)^2)",-0.0626872084815746,0.0425964731428146,NA,-0.146174761709919,0.0208003447467697
