"","Coefficients","SE","Lower CI","Upper CI"
"(Intercept)",0.312089443690631,0.180626242613428,-0.0419314864944816,0.666110373875743
"I(Rich_Prop^2)",0.314552521946102,0.121835389936524,0.0757595456281211,0.553345498264082
"log(Rich_Prop)",0.0306711935785698,0.077672558278744,-0.121564223234857,0.182906610391996
"Rich_Prop",0.31631723449865,0.383317690694809,-0.434971633900239,1.06760610289754
