ID,Site,Disturbance,Age,Type,Tax,Prop,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size
Benavides et al 2006,Benavides et al 2006AK,Shifting agriculture,38,Wet,Epiphytes,0.544297762,-0.608258825,-0.455702238,-0.983747247,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AL,Shifting agriculture,39,Wet,Epiphytes,0.545861238,-0.605390479,-0.454138762,-0.979804289,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AM,Shifting agriculture,40,Wet,Epiphytes,0.659949162,-0.415592475,-0.340050838,-0.708300027,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AN,Shifting agriculture,41,Wet,Epiphytes,0.977318651,-0.022942527,-0.022681349,-0.045370479,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AO,Shifting agriculture,42,Wet,Epiphytes,0.841220747,-0.172901172,-0.158779253,-0.320268255,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AP,Shifting agriculture,43,Wet,Epiphytes,0.774778764,-0.255177756,-0.225221236,-0.458299185,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AQ,Shifting agriculture,44,Wet,Epiphytes,0.684497786,-0.379069868,-0.315502214,-0.653288373,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AR,Shifting agriculture,45,Wet,Epiphytes,0.889878483,-0.116670361,-0.110121517,-0.221139845,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006AS,Shifting agriculture,46,Wet,Epiphytes,0.474630396,-0.745218892,-0.525369604,-1.167455637,43.68472857,43.68472857,NA
Cascante Marin et al 2006,Cascante Marin et al 2006a,Pasture,10,Moist,Epiphytes,0.6,-0.510825624,-0.4,-0.84729786,10,10,NA
Cascante Marin et al 2006,Cascante Marin et al 2006b,Pasture,37.5,Moist,Epiphytes,0.9,-0.105360516,-0.1,-0.200670695,10,10,NA
Köster et al 2009,Köster et al 2009a,Pasture,10,Montane,Epiphytes,0.364764283,-1.008503935,-0.635235717,-1.500290898,84.3065,84.3065,NA
Köster et al 2009,Köster et al 2009b,Pasture,24,Montane,Epiphytes,0.785870603,-0.240963127,-0.214129397,-0.434990401,84.3065,84.3065,NA
Dewalt et al 2000,Dewalt et al 2000a,Pasture,20,Wet,Epiphytes,1.727272727,0.546543706,0.727272727,1.84582669,22,22,NA
Dewalt et al 2000,Dewalt et al 2000b,Pasture,20,Wet,Epiphytes,0.954545455,-0.046520016,-0.045454545,-0.090971778,22,22,NA
Dewalt et al 2000,Dewalt et al 2000c,Pasture,40,Wet,Epiphytes,1.409090909,0.342944751,0.409090909,0.869037847,22,22,NA
Dewalt et al 2000,Dewalt et al 2000d,Pasture,40,Wet,Epiphytes,1.590909091,0.464305608,0.590909091,1.358123484,22,22,NA
Dewalt et al 2000,Dewalt et al 2000e,Pasture,70,Wet,Epiphytes,0.909090909,-0.09531018,-0.090909091,-0.182321557,22,22,NA
Dewalt et al 2000,Dewalt et al 2000f,Pasture,70,Wet,Epiphytes,1.136363636,0.127833372,0.136363636,0.274436846,22,22,NA
Dewalt et al 2000,Dewalt et al 2000g,Pasture,40,Wet,Epiphytes,1.136363636,0.127833372,0.136363636,0.274436846,22,22,NA
Dewalt et al 2000,Dewalt et al 2000h,Pasture,40,Wet,Epiphytes,0.954545455,-0.046520016,-0.045454545,-0.090971778,22,22,NA
Woods et al 2012,Woods et al 2012a,Pasture,35,Moist,Epiphytes,0.121562971,-2.107322873,-0.878437029,-2.737762937,23.53595,23.53595,NA
Woods et al 2012,Woods et al 2012c,Pasture,55,Moist,Epiphytes,0.511341161,-0.670718277,-0.488658839,-1.068593884,23.53595,23.53595,NA
Woods et al 2012,Woods et al 2012d,Pasture,55,Moist,Epiphytes,0.317463285,-1.147393105,-0.682536715,-1.66769571,23.53595,23.53595,NA
Woods et al 2012,Woods et al 2012e,Pasture,115,Moist,Epiphytes,0.837777952,-0.177002187,-0.162222048,-0.327335918,23.53595,23.53595,NA
Woods et al 2012,Woods et al 2012f,Pasture,115,Moist,Epiphytes,0.64388733,-0.440231522,-0.35611267,-0.744853798,23.53595,23.53595,NA
Woods et al 2012,Woods et al 2012g,Pasture,85,Moist,Epiphytes,0.381620457,-0.963328732,-0.618379543,-1.444754098,23.53595,23.53595,NA
Andel et al 2001,Andel et al 2001a,Pasture,20,Moist,Epiphytes,0.5,-0.693147181,-0.5,-1.098612289,10,10,NA
Andel et al 2001,Andel et al 2001b,Pasture,60,Moist,Epiphytes,0.555555556,-0.587786665,-0.444444444,-0.955511445,9,9,NA
