"","Study","Site","Tran_AGB","Prop_AGB","Age","Type","Disturbance","AGB_Ref","Height","Wood_grav","Allometry"
"1","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008a",-1.01459343261493,0.532163742690059,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"2","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008b",-1.4496302362917,0.380116959064328,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"3","Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008c",-1.39362040121196,0.39766081871345,25,"Dry","Arable agriculture","51.3","Yes","Yes","General"
"4","Read et al 2003","Read et al 2003a",-2.34239047075566,0.17534504391468,2,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"5","Read et al 2003","Read et al 2003b",-3.13811587890869,0.0831242158092848,3,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"6","Read et al 2003","Read et al 2003c",-2.68420998585418,0.127823086574655,4,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"7","Read et al 2003","Read et al 2003d",-2.60936285292027,0.137076537013802,5,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"8","Read et al 2003","Read et al 2003e",-2.05069553252749,0.227964240903388,8,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"9","Read et al 2003","Read et al 2003f",-2.43561099986951,0.160994353826851,8,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"10","Read et al 2003","Read et al 2003g",-1.69176224473026,0.311088456712673,10,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"11","Read et al 2003","Read et al 2003h",-1.52559813083231,0.357277289836888,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"12","Read et al 2003","Read et al 2003i",-1.29815221375568,0.428952321204517,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"13","Read et al 2003","Read et al 2003j",-1.15762144803704,0.478199498117942,12,"Dry","Shifting agriculture","127.52","Yes","Yes","General"
"14","Read et al 2003","Read et al 2003k",-2.75162898656637,0.119989434061943,3,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"15","Read et al 2003","Read et al 2003l",-2.05333423841013,0.227431816680975,5,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"16","Read et al 2003","Read et al 2003m",-1.31580623733743,0.42303374496467,5,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"17","Read et al 2003","Read et al 2003n",-2.6102683095386,0.136960972066301,6,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"18","Read et al 2003","Read et al 2003o",-2.41392288400532,0.164234299676418,8,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"19","Read et al 2003","Read et al 2003p",-1.62033395215462,0.330317638512844,16,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"20","Read et al 2003","Read et al 2003q",-1.61102364121039,0.332893085914284,18,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"21","Read et al 2003","Read et al 2003r",-0.743853544512658,0.644324110149904,24,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"22","Read et al 2003","Read et al 2003s",-0.795285951457506,0.622069603116952,25,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"23","Read et al 2003","Read et al 2003t",-1.38860726484385,0.399260384335997,25,"Dry","Shifting agriculture","151.43","Yes","Yes","General"
"24","Read et al 2003","Read et al 2003u",-2.97662875352715,0.0969858922466302,4,"Dry","Shifting agriculture","127.235","Yes","Yes","General"
