"ID","Site","Depth","Disturbance","Age","Type","Measurement","Soil_C_Ref","Soil_C_Sec","Soil_type","proploss","proploss2","Prop","Ran"
"Werner 1984","Werner 1984b",50,"Shifting agriculture",8,"Wet","Soil carbon",76.52,88.825,NA,0.160807631991636,0.324431313642072,1.16080763199164,"76.52"
"Werner 1984","Werner 1984c",50,"Shifting agriculture",16,"Wet","Soil carbon",76.52,78.66,NA,0.027966544694198,0.05594767850674,1.0279665446942,"76.52"
"Werner 1984","Werner 1984d",50,"Shifting agriculture",31,"Wet","Soil carbon",76.52,72.345,NA,-0.0545608991113434,-0.109230273298741,0.945439100888657,"76.52"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988a",15,"Pasture",3.5,"Wet","Soil carbon",122.39,126.03,NA,0.0297409919111039,0.0594995309346496,1.0297409919111,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988b",15,"Pasture",4.5,"Wet","Soil carbon",122.39,115.84,NA,-0.0535174442356401,-0.107137251245068,0.94648255576436,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988c",15,"Pasture",8,"Wet","Soil carbon",122.39,134.27,NA,0.0970667538197566,0.194746683483926,1.09706675381976,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988d",15,"Pasture",8,"Wet","Soil carbon",122.39,124.08,NA,0.0138083176730125,0.0276183907647972,1.01380831767301,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988e",15,"Pasture",1,"Wet","Soil carbon",122.39,110.31,NA,-0.0987008742544325,-0.198046541854488,0.901299125745567,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988f",15,"Pasture",3.5,"Wet","Soil carbon",122.39,101.38,NA,-0.171664351662718,-0.346762095121317,0.828335648337282,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988g",15,"Pasture",3.5,"Wet","Soil carbon",122.39,120.98,NA,-0.011520549064466,-0.0230421175717274,0.988479450935534,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988h",15,"Pasture",4,"Wet","Soil carbon",122.39,133.19,NA,0.0882425034725059,0.176945240015329,1.08824250347251,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988i",15,"Pasture",7.5,"Wet","Soil carbon",122.39,129.63,NA,0.0591551597352724,0.118448612345257,1.05915515973527,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988j",15,"Pasture",8,"Wet","Soil carbon",122.39,137.5,NA,0.123457798839774,0.248181678133203,1.12345779883977,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988k",15,"Pasture",2.5,"Wet","Soil carbon",122.39,113.81,NA,-0.0701037666476019,-0.140437898047513,0.929896233352398,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988l",15,"Pasture",2.5,"Wet","Soil carbon",122.39,94.96,NA,-0.224119617615818,-0.455978823218324,0.775880382384182,"122.39"
"Uhl & Buschbacher 1988","Uhl & Buschbacher 1988m",15,"Pasture",8,"Wet","Soil carbon",122.39,97.42,NA,-0.204019936269303,-0.4138470441286,0.795980063730697,"122.39"
