"ID","Site","Depth","Disturbance","Age","Type","Measurement","Soil_C_Ref","Soil_C_Sec","Soil_type","proploss","proploss2","Prop","Ran"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011a",10,"Pasture",6.5,"Moist","Soil carbon",35,18.38,"Clay",-0.474857142857143,-1.03264607736293,0.525142857142857,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011b",10,"Pasture",6.5,"Moist","Soil carbon",35,25.77,"Clay",-0.263714285714286,-0.540192267215962,0.736285714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011c",10,"Pasture",6.5,"Moist","Soil carbon",35,24.74,"Clay",-0.293142857142857,-0.604002273241049,0.706857142857143,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011d",10,"Pasture",6.5,"Moist","Soil carbon",35,30.81,"Clay",-0.119714285714286,-0.240582299602964,0.880285714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011e",10,"Pasture",6.5,"Moist","Soil carbon",35,29.52,"Clay",-0.156571428571429,-0.315740025246938,0.843428571428571,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011f",10,"Pasture",6.5,"Moist","Soil carbon",35,23.93,"Clay",-0.316285714285714,-0.655029077027544,0.683714285714286,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011g",10,"Pasture",6.5,"Moist","Soil carbon",35,26.82,"Clay",-0.233714285714286,-0.476229547233129,0.766285714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011h",10,"Pasture",6.5,"Moist","Soil carbon",35,31.62,"Clay",-0.0965714285714285,-0.193746658798228,0.903428571428571,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011i",10,"Pasture",13.5,"Moist","Soil carbon",35,34.1,"Clay",-0.0257142857142857,-0.051439911204762,0.974285714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011j",10,"Pasture",13.5,"Moist","Soil carbon",35,36.14,"Clay",0.0325714285714286,0.0651659084590929,1.03257142857143,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011k",10,"Pasture",13.5,"Moist","Soil carbon",35,38.21,"Clay",0.0917142857142857,0.183945486536097,1.09171428571429,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011l",10,"Pasture",13.5,"Moist","Soil carbon",35,40.22,"Clay",0.149142857142857,0.300527357088643,1.14914285714286,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011m",10,"Pasture",13.5,"Moist","Soil carbon",35,42.24,"Clay",0.206857142857143,0.419771503759402,1.20685714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011n",10,"Pasture",13.5,"Moist","Soil carbon",35,44.2,"Clay",0.262857142857143,0.538350297156081,1.26285714285714,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011o",10,"Pasture",13.5,"Moist","Soil carbon",35,25.53,"Clay",-0.270571428571429,-0.554960573269212,0.729428571428571,"35"
"Neumann-Cosel et al 2011","Neumann-Cosel et al 2011p",10,"Pasture",13.5,"Moist","Soil carbon",35,24.51,"Clay",-0.299714285714286,-0.618411324041891,0.700285714285714,"35"
"Salimon et al 2004","Salimon et al 2004b",60,"Pasture",11,"Moist","Soil carbon",53,54.6,"Ultisols & Oxisols",0.030188679245283,0.0603957102897399,1.03018867924528,"53"
"Salimon et al 2004","Salimon et al 2004c",60,"Arable agriculture",3,"Moist","Soil carbon",41.7,52.6,"Ultisols & Oxisols",0.261390887290168,0.535201429764135,1.26139088729017,"41.7"
"Saynes et al 2005","Saynes et al 2005a",10,"Arable agriculture",12.5,"Dry","Soil carbon",34.03,40.93,"Sandy loams",0.202762268586541,0.411223163833471,1.20276226858654,"34.03"
"Saynes et al 2005","Saynes et al 2005b",10,"Arable agriculture",25,"Dry","Soil carbon",34.03,45.31,"Sandy loams",0.331472230384954,0.688962613282087,1.33147223038495,"34.03"
"Saynes et al 2005","Saynes et al 2005c",10,"Arable agriculture",60,"Dry","Soil carbon",34.03,38.09,"Sandy loams",0.119306494269762,0.239754899161941,1.11930649426976,"34.03"
"Reiners et al 1994","Reiners et al 1994a",10,"Pasture",9,"Wet","Soil carbon",14.8353333333333,19.88,NA,0.340044039005976,0.708284650307173,1.34004403900598,"14.8353333333333"
"Reiners et al 1994","Reiners et al 1994b",10,"Pasture",4,"Wet","Soil carbon",28.9963333333333,14.91,NA,-0.485797054800032,-1.06108862193625,0.514202945199968,"28.9963333333333"
"Reiners et al 1994","Reiners et al 1994c",10,"Pasture",9,"Wet","Soil carbon",17.5326666666667,14.2,NA,-0.190083273128256,-0.384847125025601,0.809916726871744,"17.5326666666667"
"Reiners et al 1994","Reiners et al 1994d",10,"Pasture",15,"Wet","Soil carbon",14.8353333333333,21.2866666666667,NA,0.434862715139531,0.931755771039839,1.43486271513953,"14.8353333333333"
"Reiners et al 1994","Reiners et al 1994e",10,"Pasture",11.5,"Wet","Soil carbon",28.9963333333333,22.66,NA,-0.218521882077044,-0.444206681741567,0.781478117922956,"28.9963333333333"
"Reiners et al 1994","Reiners et al 1994f",10,"Pasture",11.5,"Wet","Soil carbon",17.5326666666667,21.2866666666667,NA,0.214114605118065,0.434959396301752,1.21411460511807,"17.5326666666667"
"Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008a",10,"Arable agriculture",25,"Dry","Soil carbon",13.475,12.412,"-9999",-0.0788868274582562,-0.15810216447631,0.921113172541744,"13.475"
"Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008b",10,"Arable agriculture",25,"Dry","Soil carbon",13.475,15.276,"-9999",0.133654916512059,0.26891882258167,1.13365491651206,"13.475"
"Álvarez-Yépiz et al 2008","Álvarez-Yépiz et al 2008c",10,"Arable agriculture",25,"Dry","Soil carbon",13.475,17.355,"-9999",0.287940630797773,0.592638519854085,1.28794063079777,"13.475"
"Diekmann et al 2007","Diekmann et al 2007a",5,"Shifting agriculture",8,"Dry","Soil carbon",33.09660344,30.01943338,"-9999",-0.0929754035207428,-0.186489416035484,0.907024596479257,"33.09660344"
"Diekmann et al 2007","Diekmann et al 2007b",5,"Shifting agriculture",8,"Dry","Soil carbon",33.09660344,23.81565842,"-9999",-0.280419863531471,-0.576275423389436,0.719580136468529,"33.09660344"
"Drew et al 2004","Drew et al 2004a",7,"Pasture",4,"Wet","Soil carbon",19.8485,21.504,"ultisol",0.0834068065596896,0.167202059626072,1.08340680655969,"19.8485"
"Drew et al 2004","Drew et al 2004b",7,"Pasture",10,"Wet","Soil carbon",19.8485,20.1334,"ultisol",0.0143537295009699,0.0287094307739838,1.01435372950097,"19.8485"
"Drew et al 2004","Drew et al 2004c",7,"Pasture",20,"Wet","Soil carbon",19.8485,19.4775,"ultisol",-0.0186915887850468,-0.0373875320716206,0.981308411214953,"19.8485"
"Lorenz et al 2009","Lorenz et al 2009a",50,"Pasture",90,"Dry","Soil carbon",1.985,1.246,NA,-0.372292191435768,-0.782162967922005,0.627707808564232,"1.985"
"Lorenz et al 2009","Lorenz et al 2009b",50,"Pasture",60,"Dry","Soil carbon",1.985,1.031,NA,-0.480604534005038,-1.04754018240196,0.519395465994962,"1.985"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007a",100,"Pasture",10,"Wet","Soil carbon",109.1,146.8,"-9999",0.345554537121907,0.720773246834877,1.34555453712191,"109.1"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007b",100,"Pasture",20,"Wet","Soil carbon",109.1,134.9,"-9999",0.236480293308891,0.482085214040913,1.23648029330889,"109.1"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007c",100,"Pasture",30,"Wet","Soil carbon",109.1,99.9,"-9999",-0.0843263061411548,-0.169054085329833,0.915673693858845,"109.1"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007d",100,"Pasture",60,"Wet","Soil carbon",109.1,97.8,"-9999",-0.103574702108158,-0.207894955833949,0.896425297891842,"109.1"
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007e",100,"Pasture",80,"Wet","Soil carbon",109.1,106.9,"-9999",-0.0201649862511456,-0.0403354402504993,0.979835013748854,"109.1"
"Long et al 2012","Long et al 2012a",20,"Shifting agriculture",4.5,"Wet","Soil carbon",73.45717906,20.12266772,"-9999",-0.726062612565563,-1.84069857983325,0.273937387434437,"73.45717906"
"Long et al 2012","Long et al 2012b",20,"Shifting agriculture",12.5,"Wet","Soil carbon",73.45717906,23.33428696,"-9999",-0.682341640958735,-1.66696547319361,0.317658359041265,"73.45717906"
"Long et al 2012","Long et al 2012c",20,"Shifting agriculture",50,"Wet","Soil carbon",73.45717906,43.51356714,"-9999",-0.407633566972971,-0.865539834011472,0.592366433027029,"73.45717906"
"Raich et al 1983","Raich et al 1983a",50,"Pasture",1,"Wet","Soil carbon",92.922,86.07,"inceptisol",-0.0737392651901595,-0.147746709672449,0.926260734809841,"92.922"
