ID,Site,Disturbance,Age,Type,Tax,Prop,Prop2,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size,log_age,log_age_sq,Age_sq,Age_cu
Long et al 2012,Long et al 2012b,Shifting agriculture,12.5,Richness,Trees,0.136216207,0.085033081,-1.993511897,-0.863783793,-2.616120616,94.8683,94.8683,2.5,2.525728644,6.379305185,156.25,1953.125
Long et al 2012,Long et al 2012c,Shifting agriculture,50,Richness,Trees,0.630171511,0.393385094,-0.461763256,-0.369828489,-0.776448797,94.8683,94.8683,2.5,3.912023005,15.30392399,2500,125000
Martin et al 2002,Martin et al 2002a,Arable agriculture,40,Richness,Trees,0.826086957,0.515685474,-0.191055237,-0.173913043,-0.351397887,46,46,-9999,3.688879454,13.60783163,1600,64000
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011a,Pasture,0.25,Richness,Trees,0.058823529,0.036720638,-2.833213344,-0.941176471,-3.496507561,17,17,5,-1.386294361,1.921812056,0.0625,0.015625
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011c,Pasture,1.5,Richness,Trees,0.117647059,0.073441275,-2.140066163,-0.882352941,-2.772588722,17,17,5,0.405465108,0.164401954,2.25,3.375
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011e,Pasture,5,Richness,Trees,0.647058824,0.403927013,-0.435318071,-0.352941176,-0.737598943,17,17,5,1.609437912,2.590290394,25,125
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011f,Pasture,5.5,Richness,Trees,0.823529412,0.514088925,-0.194156014,-0.176470588,-0.356674944,17,17,5,1.704748092,2.906166058,30.25,166.375
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011g,Pasture,8,Richness,Trees,0.411764706,0.257044463,-0.887303195,-0.588235294,-1.349926717,17,17,5,2.079441542,4.324077125,64,512
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011h,Pasture,9,Richness,Trees,0.882352941,0.550809563,-0.125163143,-0.117647059,-0.236388778,17,17,5,2.197224577,4.827795843,81,729
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011i,Pasture,12,Richness,Trees,0.647058824,0.403927013,-0.435318071,-0.352941176,-0.737598943,17,17,5,2.48490665,6.174761058,144,1728
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011j,Pasture,174,Richness,Trees,0.823529412,0.514088925,-0.194156014,-0.176470588,-0.356674944,17,17,5,5.159055299,26.61585158,30276,5268024
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011k,Pasture,15,Richness,Trees,1.176470588,0.73441275,0.162518929,0.176470588,0.356674944,17,17,5,2.708050201,7.333535892,225,3375
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011l,Pasture,17,Richness,Trees,1.176470588,0.73441275,0.162518929,0.176470588,0.356674944,17,17,5,2.833213344,8.027097853,289,4913
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011m,Pasture,23,Richness,Trees,0.529411765,0.330485738,-0.635988767,-0.470588235,-1.021651248,17,17,5,3.135494216,9.831323978,529,12167
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011n,Pasture,35,Richness,Trees,1.058823529,0.660971475,0.057158414,0.058823529,0.117783036,17,17,5,3.555348061,12.64049984,1225,42875
Muñiz-Castro et al 2011,Muñiz-Castro et al 2011o,Pasture,80,Richness,Trees,0.882352941,0.550809563,-0.125163143,-0.117647059,-0.236388778,17,17,5,4.382026635,19.20215743,6400,512000
Pena Claros et al 2003,Pena Claros et al 2003a,Arable agriculture,3,Richness,Trees,0.676245968,0.422147112,-0.391198411,-0.323754032,-0.671670074,53.8557,53.8557,1,1.098612289,1.206948961,9,27
Pena Claros et al 2003,Pena Claros et al 2003b,Arable agriculture,5,Richness,Trees,0.732778517,0.457437603,-0.310911782,-0.267221483,-0.547738477,53.8557,53.8557,1,1.609437912,2.590290394,25,125
Pena Claros et al 2003,Pena Claros et al 2003c,Arable agriculture,10,Richness,Trees,0.99002334,0.618022899,-0.01002676,-0.00997666,-0.019953982,53.8557,53.8557,1,2.302585093,5.30189811,100,1000
Pena Claros et al 2003,Pena Claros et al 2003d,Arable agriculture,11,Richness,Trees,0.994251305,0.62066221,-0.005765282,-0.005748695,-0.011497517,53.8557,53.8557,1,2.397895273,5.749901739,121,1331
Pena Claros et al 2003,Pena Claros et al 2003e,Arable agriculture,24,Richness,Trees,1.04025572,0.649380505,0.039466568,0.04025572,0.080554973,53.8557,53.8557,1,3.17805383,10.10002615,576,13824
Pena Claros et al 2003,Pena Claros et al 2003f,Arable agriculture,2,Richness,Trees,0.491804378,0.307009295,-0.709674248,-0.508195622,-1.120588232,47.7328,47.7328,1,0.693147181,0.480453014,4,8
Pena Claros et al 2003,Pena Claros et al 2003g,Arable agriculture,4,Richness,Trees,0.831897563,0.519312751,-0.184045967,-0.168102437,-0.33942655,47.7328,47.7328,1,1.386294361,1.921812056,16,64
Pena Claros et al 2003,Pena Claros et al 2003h,Arable agriculture,14,Richness,Trees,0.978197382,0.610640535,-0.022043807,-0.021802618,-0.043612147,47.7328,47.7328,1,2.63905733,6.964623589,196,2744
Pena Claros et al 2003,Pena Claros et al 2003i,Arable agriculture,24,Richness,Trees,1.20822998,0.754238577,0.189156462,0.20822998,0.422640771,47.7328,47.7328,1,3.17805383,10.10002615,576,13824
Pena Claros et al 2003,Pena Claros et al 2003j,Arable agriculture,27,Richness,Trees,1.18304604,0.738517481,0.168092502,0.18304604,0.37026504,47.7328,47.7328,1,3.295836866,10.86254065,729,19683
Pena Claros et al 2003,Pena Claros et al 2003k,Arable agriculture,40,Richness,Trees,1.24519827,0.777316063,0.219294771,0.24519827,0.500594945,47.7328,47.7328,1,3.688879454,13.60783163,1600,64000
Piotto et al 2009,Piotto et al 2009a,Shifting agriculture,10,Richness,Trees,0.262411348,0.163810503,-1.337841978,-0.737588652,-1.890340298,282,282,5,2.302585093,5.30189811,100,1000
Piotto et al 2009,Piotto et al 2009b,Shifting agriculture,25,Richness,Trees,0.64893617,0.405098948,-0.432420918,-0.35106383,-0.733313222,282,282,5,3.218875825,10.36116158,625,15625
Piotto et al 2009,Piotto et al 2009c,Shifting agriculture,40,Richness,Trees,0.75177305,0.469294956,-0.285320796,-0.24822695,-0.507044901,282,282,5,3.688879454,13.60783163,1600,64000
Saldarriaga et al 1988,Saldarriaga et al 1988a,Shifting agriculture,9,Richness,Trees,0.666666667,0.416167225,-0.405465108,-0.333333333,-0.693147181,75,75,1,2.197224577,4.827795843,81,729
Saldarriaga et al 1988,Saldarriaga et al 1988b,Shifting agriculture,11,Richness,Trees,0.44,0.274670369,-0.820980552,-0.56,-1.265666373,75,75,1,2.397895273,5.749901739,121,1331
Saldarriaga et al 1988,Saldarriaga et al 1988c,Shifting agriculture,12,Richness,Trees,0.573333333,0.357903814,-0.556287998,-0.426666667,-0.911628719,75,75,1,2.48490665,6.174761058,144,1728
Saldarriaga et al 1988,Saldarriaga et al 1988d,Shifting agriculture,14,Richness,Trees,0.746666667,0.466107292,-0.292136423,-0.253333333,-0.517943092,75,75,1,2.63905733,6.964623589,196,2744
Saldarriaga et al 1988,Saldarriaga et al 1988e,Shifting agriculture,20,Richness,Trees,0.866666667,0.541017393,-0.143100844,-0.133333333,-0.268263987,75,75,1,2.995732274,8.974411855,400,8000
Saldarriaga et al 1988,Saldarriaga et al 1988f,Shifting agriculture,20,Richness,Trees,1.013333333,0.632574182,0.013245227,0.013333333,0.026668247,75,75,1,2.995732274,8.974411855,400,8000
Saldarriaga et al 1988,Saldarriaga et al 1988g,Shifting agriculture,20,Richness,Trees,0.666666667,0.416167225,-0.405465108,-0.333333333,-0.693147181,75,75,1,2.995732274,8.974411855,400,8000
Saldarriaga et al 1988,Saldarriaga et al 1988h,Shifting agriculture,20,Richness,Trees,0.84,0.524370704,-0.174353387,-0.16,-0.322773392,75,75,1,2.995732274,8.974411855,400,8000
Saldarriaga et al 1988,Saldarriaga et al 1988i,Shifting agriculture,30,Richness,Trees,1.026666667,0.640897527,0.026317308,0.026666667,0.053345981,75,75,1,3.401197382,11.56814363,900,27000
Saldarriaga et al 1988,Saldarriaga et al 1988j,Shifting agriculture,35,Richness,Trees,0.906666667,0.565987426,-0.097980408,-0.093333333,-0.187211542,75,75,1,3.555348061,12.64049984,1225,42875
Saldarriaga et al 1988,Saldarriaga et al 1988k,Shifting agriculture,35,Richness,Trees,0.933333333,0.582634115,-0.068992871,-0.066666667,-0.133531393,75,75,1,3.555348061,12.64049984,1225,42875
Saldarriaga et al 1988,Saldarriaga et al 1988l,Shifting agriculture,40,Richness,Trees,1,0.624250838,0,0,0,75,75,1,3.688879454,13.60783163,1600,64000
Saldarriaga et al 1988,Saldarriaga et al 1988m,Shifting agriculture,60,Richness,Trees,0.826666667,0.516047359,-0.190353728,-0.173333333,-0.350202429,75,75,1,4.094344562,16.76365739,3600,216000
Saldarriaga et al 1988,Saldarriaga et al 1988n,Shifting agriculture,60,Richness,Trees,0.933333333,0.582634115,-0.068992871,-0.066666667,-0.133531393,75,75,1,4.094344562,16.76365739,3600,216000
Saldarriaga et al 1988,Saldarriaga et al 1988o,Shifting agriculture,60,Richness,Trees,0.88,0.549340737,-0.127833372,-0.12,-0.241162057,75,75,1,4.094344562,16.76365739,3600,216000
Saldarriaga et al 1988,Saldarriaga et al 1988p,Shifting agriculture,80,Richness,Trees,0.96,0.599280804,-0.040821995,-0.04,-0.080042708,75,75,1,4.382026635,19.20215743,6400,512000
Saldarriaga et al 1988,Saldarriaga et al 1988q,Shifting agriculture,80,Richness,Trees,0.973333333,0.607604149,-0.027028672,-0.026666667,-0.053345981,75,75,1,4.382026635,19.20215743,6400,512000
