ID,Site,Disturbance,Age,Type,Tax,Prop,Prop2,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size,log_age,log_age_sq,Age_sq,Age_cu
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988j,Pasture,8,Richness,Trees,0.722330097,0.450915168,-0.325273046,-0.277669903,-0.570311077,25.75,25.75,-9999,2.079441542,4.324077125,64,512
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988k,Pasture,2.5,Richness,Trees,0.053592233,0.033454996,-2.926351128,-0.946407767,-3.592336631,25.75,25.75,-9999,0.916290732,0.839588705,6.25,15.625
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988l,Pasture,2.5,Richness,Trees,0.189514563,0.118304625,-1.663289407,-0.810485437,-2.256884414,25.75,25.75,-9999,0.916290732,0.839588705,6.25,15.625
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988m,Pasture,8,Richness,Trees,0.038834951,0.024242751,-3.248434627,-0.961165049,-3.921973336,25.75,25.75,-9999,2.079441542,4.324077125,64,512
Bobo et al 2006,Bobo et al 2006a,Shifting agriculture,15,Richness,Trees,1.030711652,0.643422612,0.030249488,0.030711652,0.061442626,51.0067,51.0067,10,2.708050201,7.333535892,225,3375
Brearley et al 2004,Brearley et al 2004a,Shifting agriculture,55,Richness,Trees,0.647058824,0.403927013,-0.435318071,-0.352941176,-0.737598943,85,85,10,4.007333185,16.05871926,3025,166375
Cascante Marin et al 2006,Cascante Marin et al 2006a,Pasture,10,Richness,Trees,0.222222222,0.138722408,-1.504077397,-0.777777778,-2.079441542,27,27,5,2.302585093,5.30189811,100,1000
Cascante Marin et al 2006,Cascante Marin et al 2006b,Pasture,37.5,Richness,Trees,0.703703704,0.439287626,-0.351397887,-0.296296296,-0.610909082,27,27,5,3.624340933,13.1358472,1406.25,52734.375
Aweto et al 1981,Aweto et al 1981a,Shifting agriculture,1,Richness,Trees,0.089430894,0.055827311,-2.414289083,-0.910569106,-3.061690241,24.6,24.6,2,0,0,1,1
Aweto et al 1981,Aweto et al 1981b,Shifting agriculture,3,Richness,Trees,0.284552846,0.177632352,-1.256836294,-0.715447154,-1.796510072,24.6,24.6,2,1.098612289,1.206948961,9,27
Aweto et al 1981,Aweto et al 1981c,Shifting agriculture,7,Richness,Trees,0.589430894,0.367952729,-0.528597794,-0.410569106,-0.872591038,24.6,24.6,2,1.945910149,3.786566308,49,343
Aweto et al 1981,Aweto et al 1981d,Shifting agriculture,10,Richness,Trees,0.772357724,0.482144956,-0.258307464,-0.227642276,-0.463402945,24.6,24.6,2,2.302585093,5.30189811,100,1000
Diekmann et al 2007,Diekmann et al 2007a,Shifting agriculture,8,Richness,Trees,0.586206897,0.365940146,-0.534082486,-0.413793103,-0.880358723,29,29,1,2.079441542,4.324077125,64,512
Diekmann et al 2007,Diekmann et al 2007b,Shifting agriculture,8,Richness,Trees,0.482758621,0.301362473,-0.7282385,-0.517241379,-1.145132304,29,29,1,2.079441542,4.324077125,64,512
Fernandes et al 1995,Fernandes et al 1995a,Pasture,6,Richness,Trees,0.8,0.49940067,-0.223143551,-0.2,-0.405465108,55,55,2.5,1.791759469,3.210401996,36,216
Fujisaka et al 1997,Fujisaka et al 1997a,Shifting agriculture,1.5,Richness,Trees,1.080127884,0.674270736,0.077079445,0.080127884,0.160600069,158.8311,158.8311,-9999,0.405465108,0.164401954,2.25,3.375
Fujisaka et al 1997,Fujisaka et al 1997b,Shifting agriculture,4,Richness,Trees,0.707763782,0.441822134,-0.345644883,-0.292236218,-0.602019103,158.8311,158.8311,-9999,1.386294361,1.921812056,16,64
Fujisaka et al 1997,Fujisaka et al 1997c,Shifting agriculture,5,Richness,Trees,0.447233571,0.279185931,-0.804674291,-0.552766429,-1.244712424,158.8311,158.8311,-9999,1.609437912,2.590290394,25,125
Kammesheidt et al 1998,Kammesheidt et al 1998a,Shifting agriculture,3.5,Richness,Trees,1.111111111,0.693612042,0.105360516,0.111111111,0.223143551,12.6,12.6,5,1.252762968,1.569415055,12.25,42.875
Kammesheidt et al 1998,Kammesheidt et al 1998b,Shifting agriculture,12.5,Richness,Trees,1.055555556,0.65893144,0.054067221,0.055555556,0.111225635,12.6,12.6,5,2.525728644,6.379305185,156.25,1953.125
Kappelle et al 1993,Kappelle et al 1993a,Pasture,10,Richness,Trees,1.115384615,0.69627978,0.109199292,0.115384615,0.231801614,26,26,3,2.302585093,5.30189811,100,1000
Kappelle et al 1993,Kappelle et al 1993b,Pasture,20,Richness,Trees,1.230769231,0.768308723,0.207639365,0.230769231,0.470003629,26,26,3,2.995732274,8.974411855,400,8000
Kappelle et al 1993,Kappelle et al 1993c,Pasture,32.5,Richness,Trees,1.461538462,0.912366609,0.379489622,0.461538462,0.99852883,26,26,3,3.481240089,12.11903256,1056.25,34328.125
Klanderaud et al 2009,Klanderaud et al 2009b,Shifting agriculture,5.5,Richness,Trees,0.081182947,0.050678523,-2.511050069,-0.918817053,-3.162758947,12.0986,12.0986,-9999,1.704748092,2.906166058,30.25,166.375
Klanderaud et al 2009,Klanderaud et al 2009c,Shifting agriculture,10,Richness,Trees,0.016530838,0.01031939,-4.102527656,-0.983469162,-4.787375069,12.0986,12.0986,10,2.302585093,5.30189811,100,1000
