Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Pena Claros et al 2003,Pena Claros et al 2003a,Arable agriculture,3,Tropical moist forest,Primary forest,-9999,Bolivia,-11.98333333,-65.71666667
Williams-Linera et al 2010,Williams-Linera et al 2010c,Pasture,3,Tropical dry forest,Primary forest,-9999,Mexico,19.299155,-96.492577
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988a,Pasture,3.5,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988f,Pasture,3.5,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988g,Pasture,3.5,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Guggenberger et al 1999,Guggenberger et al 1999a,Shifting agriculture,3.5,Tropical rainforest,Primary forest,-9999,Costa Rica,10.67,-84.08
Kammesheidt et al 1998,Kammesheidt et al 1998a,Shifting agriculture,3.5,NA,Primary forest,-9999,Paraguay,-24.10472222,-56.37611111
Kotto-Same et al 1997,Kotto-Same et al 1997a,Shifting agriculture,4,Tropical moist forest,Primary forest,-9999,Cameroon,2.433,11.25
Kotto-Same et al 1997,Kotto-Same et al 1997d,Shifting agriculture,4,Tropical moist forest,Primary forest,-9999,Cameroon,3.6,11.62
Kotto-Same et al 1997,Kotto-Same et al 1997g,Shifting agriculture,4,Tropical moist forest,Primary forest,-9999,Cameroon,4.25,11.25
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988h,Pasture,4,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Eaton et al 2009,Eaton et al 2009d,Arable agriculture,4,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Eaton et al 2009,Eaton et al 2009e,Arable agriculture,4,Tropical dry forest,Primary forest,-9999,Mexico,18.42229,-89.391083
Hughes et al 1999,Hughes et al 1999b,Arable agriculture,4,Tropical moist forest,Primary forest,-9999,Mexico,18.58333333,-95.08333333
Templer et al 2004,Templer et al 2004b,Shifting agriculture,4,NA,Primary forest,-9999,Dominican Republic,19,-69.667
Reiners et al 1994,Reiners et al 1994b,Pasture,4,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-84
Read et al 2003,Read et al 2003c,Shifting agriculture,4,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.38333333
Read et al 2003,Read et al 2003u,Shifting agriculture,4,Tropical dry forest,Primary forest,-9999,Mexico,17.88333333,-89.28333333
Benavides et al 2006,Benavides et al 2006C,Shifting agriculture,4,Tropical rainforest,Primary forest,-9997,Brazil,-3,-69.5
Drew et al 2004,Drew et al 2004a,Pasture,4,Tropical rainforest,Primary forest,-9999,Costa Rica,9.333333333,-83.85
Fujisaka et al 1997,Fujisaka et al 1997b,Shifting agriculture,4,Tropical rainforest,Primary forest,-9999,Brazil,-10.390572,-67.819427
Gehring et al 2005,Gehring et al 2005n,Shifting agriculture,4,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Pena Claros et al 2003,Pena Claros et al 2003g,Arable agriculture,4,Tropical moist forest,Primary forest,-9999,Bolivia,-11.75,-67.33333333
Williams-Linera et al 2010,Williams-Linera et al 2010d,Pasture,4,Tropical dry forest,Primary forest,-9999,Mexico,19.299155,-96.492577
Liebsch et al 2008,Liebsch et al 2008a,Shifting agriculture,4,Tropical rainforest,Primary forest,-9999,Brazil,-25.425912,-48.707886
Uhl & Buschbacher 1988,Uhl & Buschbacher 1988b,Pasture,4.5,Tropical rainforest,Primary forest,-9999,Brazil,-2.99,-47.35
Long et al 2012,Long et al 2012a,Shifting agriculture,4.5,Tropical rainforest,Primary forest,-9999,"China, People's Republic of",18.24,110
Sommer et al 2000,Sommer et al 2000c,Shifting agriculture,5,NA,Primary forest,-9999,Brazil,-1.111609,-47.571539
