Study,Site,Disturbance,Age,Type,Ref_Type,Ref_age,Country,Lat,Long
Cascante Marin et al 2006,Cascante Marin et al 2006a,Pasture,10,Tropical moist forest,Primary forest,-9999,Costa Rica,10.28611111,-84.79444444
Aweto et al 1981,Aweto et al 1981d,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Nigeria,6.75,3.5
Drew et al 2004,Drew et al 2004b,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,9.333333333,-83.85
Eaton et al 2006,Eaton et al 2006n,Shifting agriculture,10,Tropical dry forest,Primary forest,-9999,Mexico,18.81666667,-89.45
Gehring et al 2005,Gehring et al 2005h,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Gehring et al 2005,Gehring et al 2005i,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Brazil,-3,-60
Kappelle et al 1993,Kappelle et al 1993a,Pasture,10,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Klanderaud et al 2009,Klanderaud et al 2009c,Shifting agriculture,10,Tropical rainforest,Primary forest,-9999,Madagascar,-18.9,48.46666667
Köster et al 2009,Köster et al 2009a,Pasture,10,Tropical montane forest,Primary forest,-9999,Ecuador,-0.416666667,-79.01666667
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007a,Pasture,10,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Howorth et al 2006,Howorth et al 2006a,Shifting agriculture,10,Tropical montane forest,Primary forest,-9999,Venezuela,10.414631,-67.334948
Kappelle et al 1995,Kappelle et al 1995b,Pasture,10,Tropical montane forest,Primary forest,-9999,Costa Rica,9.594444444,-83.74166667
Letcher et al 2009,Letcher et al 2009a,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009b,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Letcher et al 2009,Letcher et al 2009c,Pasture,10,Tropical rainforest,Primary forest,-9999,Costa Rica,10.43333333,-83.98333333
Pena Claros et al 2003,Pena Claros et al 2003c,Arable agriculture,10,Tropical moist forest,Primary forest,-9999,Bolivia,-11.98333333,-65.71666667
Piotto et al 2009,Piotto et al 2009a,Shifting agriculture,10,Tropical moist forest,Primary forest,-9999,Brazil,-14.41666667,-39.08333333
Sierra et al 2007,Sierra et al 2007g,Pasture,10,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007q,Pasture,10,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Sierra et al 2007,Sierra et al 2007w,Pasture,10,Tropical moist forest,Primary forest,-9999,Colombia,6.760277778,-75.10777778
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007f,Pasture,10,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Marín-Spiotta et al 2007,Marín-Spiotta et al 2007g,Pasture,10,Tropical rainforest,Primary forest,-9999,Puerto Rico,10.81472222,-85.615
Salimon et al 2004,Salimon et al 2004b,Pasture,11,Tropical moist forest,Primary forest,-9999,Brazil,-9.875694444,-67.07158333
Becknell 2012,Becknell 2012N,Pasture,11,Tropical dry forest,Primary forest,-9999,Costa Rica,10.865676,-85.72673
Benavides et al 2006,Benavides et al 2006J,Shifting agriculture,11,Tropical rainforest,Primary forest,-9990,Brazil,-3,-69.5
